open,high,low,close,volume
104385.99,104497.54,104135.71,104341.98,360.1847
104341.99,104450.48,104276.41,104366.63,262.45644
104366.62,104661.04,104106.09,104540.0,367.66841
104540.0,104700.01,104391.27,104670.99,264.28735
104670.99,104792.0,104456.0,104753.07,258.87101
104753.08,104868.0,104629.31,104717.04,395.63454
104717.05,104721.99,104473.16,104600.01,268.90837
104600.0,105111.11,104594.01,104897.79,540.7027
104897.79,104989.49,104591.67,104654.9,424.39657
104654.91,104934.39,104449.75,104899.71,546.35715
104899.72,105286.52,104843.25,104983.49,486.25249
104983.5,105187.5,104909.09,105055.16,374.57154
105055.16,105200.0,104965.7,104965.71,216.431
104965.71,105123.5,104866.66,105102.84,391.43699
105102.84,105250.0,105004.53,105077.54,221.14763
105077.54,105134.9,104696.0,104746.85,251.95397
104746.86,104841.84,104515.44,104599.96,379.34566
104599.95,104772.0,104503.7,104621.37,307.90424
104621.37,104718.16,104520.03,104696.25,174.90631
104696.25,105273.24,104696.24,105062.42,453.45121
105062.41,105500.0,104978.82,105174.27,472.09784
105174.28,105200.0,105013.6,105094.12,304.64182
105094.13,105118.78,104959.2,104990.75,243.85071
104990.75,105100.0,104950.0,104998.35,208.35672
104998.36,105221.36,104863.31,105030.4,283.50224
105030.4,105030.41,104444.01,104630.03,621.23723
104630.02,104722.9,104500.0,104715.29,252.60356
104715.29,104847.69,104662.05,104818.69,183.22383
104818.68,104890.0,104703.58,104890.0,194.47816
104890.0,105126.11,104838.43,104961.73,523.63296
104961.74,105003.54,104804.0,104944.0,213.25317
104944.0,105093.22,104887.7,104967.01,205.5937
104967.02,105040.64,104896.0,104938.02,165.96771
104938.01,105050.0,104912.53,104945.11,182.38164
104945.12,105260.36,104906.89,105175.11,355.09947
105175.11,105240.0,105040.0,105081.63,162.9862
105081.64,105200.0,104918.52,104949.99,206.60846
104949.99,105006.0,104552.48,104557.19,392.99714
104557.19,104730.98,104300.01,104330.22,499.61588
104330.21,104330.21,102520.44,102620.0,2824.77652
102620.01,103260.0,101600.0,101728.0,2400.53641
101728.0,102085.04,101168.8,101308.29,2370.58762
101308.29,101688.0,100835.25,101000.0,2318.03151
100999.99,101858.19,100720.53,101395.64,1264.73165
101395.64,101399.99,100227.01,100410.04,2009.08815
100410.04,100732.0,99713.37,100374.08,2629.73313
100374.07,100491.99,98721.0,98956.32,3833.59486
98956.31,99415.92,97777.77,99048.02,4179.21805
99048.01,99367.73,98700.0,99043.77,1840.48751
99043.78,99533.33,98800.0,99424.38,1569.8658
99424.37,99454.76,98263.49,98392.74,1793.67761
98392.74,99362.03,98324.01,98761.13,1586.35827
98761.12,100910.27,98714.28,100619.68,2164.86447
